wiki,overall size rank,monthly unique devices,mobile unique devices,mobile web pageviews,mobile app pageviews,unique devices per editor,monthly editors,monthly active editors,monthly active administrators,majority-mobile editors,monthly new active editors,second-month new editor retention,monthly nonbot edits,bot edits,mobile edits,visual edits,anonymous edits,revert rate,edits Gini coefficient,monthly flow messages,content pages,cumulative content edits,edits per content page,script direction,database code,project code,language code,domain name,language name,project name,wiki name
Serbian Wikinews,519,"3,451",21.3%,14.1%,0.0%,618,6,1,1,0.0%,0,0.0%,24,72.6%,1.8%,14.0%,2.1%,1.4%,0.69,0,"76,990","44,119",1,left-to-right,srwikinews,wikinews,sr,https://sr.wikinews.org,Serbian,Wikinews,Serbian Wikinews
Galician Wikisource,520,"1,993",25.1%,3.3%,0.0%,543,4,2,1,0.0%,0,0.0%,69,1.6%,0.7%,9.4%,8.4%,1.3%,0.84,0,529,"5,626",11,left-to-right,glwikisource,wikisource,gl,https://gl.wikisource.org,Galician,Wikisource,Galician Wikisource
Kabardian Wikipedia,521,"7,551",16.1%,4.3%,0.1%,816,9,0,2,2.6%,0,33.3%,45,9.0%,1.7%,3.3%,49.5%,32.4%,0.78,0,"1,576","10,164",6,left-to-right,kbdwiki,wikipedia,kbd,https://kbd.wikipedia.org,Kabardian,Wikipedia,Kabardian Wikipedia
Tamil Wikibooks,522,"9,219",68.5%,57.4%,0.0%,"3,352",3,0,1,27.6%,0,0.0%,29,0.0%,12.8%,2.0%,13.1%,0.9%,0.83,0,701,"6,868",10,left-to-right,tawikibooks,wikibooks,ta,https://ta.wikibooks.org,Tamil,Wikibooks,Tamil Wikibooks
Ewe Wikipedia,523,"6,125",14.9%,3.9%,0.0%,"1,500",4,1,1,6.3%,0,50.0%,23,4.5%,4.7%,2.2%,8.7%,2.9%,0.74,0,345,"2,880",8,left-to-right,eewiki,wikipedia,ee,https://ee.wikipedia.org,Ewe,Wikipedia,Ewe Wikipedia
Inupiaq Wikipedia,524,"6,116",15.5%,3.6%,0.0%,"1,165",5,1,1,9.3%,0,0.0%,22,6.3%,8.7%,11.3%,13.5%,11.3%,0.70,0,260,"3,402",13,left-to-right,ikwiki,wikipedia,ik,https://ik.wikipedia.org,Inupiaq,Wikipedia,Inupiaq Wikipedia
Marathi Wikisource,525,"9,090",76.9%,28.6%,0.0%,603,15,0,1,7.6%,0,25.0%,"1,328",3.0%,0.4%,0.1%,0.8%,0.4%,0.94,0,"1,413","23,125",16,left-to-right,mrwikisource,wikisource,mr,https://mr.wikisource.org,Marathi,Wikisource,Marathi Wikisource
Cheyenne Wikipedia,526,"5,928",13.6%,4.8%,0.3%,"1,062",6,1,2,4.4%,0,50.0%,21,6.9%,5.5%,3.5%,12.2%,3.1%,0.69,0,609,"3,217",5,left-to-right,chywiki,wikipedia,chy,https://chy.wikipedia.org,Cheyenne,Wikipedia,Cheyenne Wikipedia
Norwegian Wikiquote,527,"8,886",48.0%,31.8%,0.0%,"2,806",3,0,1,0.0%,0,100.0%,17,3.3%,2.0%,3.4%,32.4%,2.0%,0.72,0,328,"9,249",28,left-to-right,nowikiquote,wikiquote,no,https://no.wikiquote.org,Norwegian,Wikiquote,Norwegian Wikiquote
Slovenian Wiktionary,528,"5,890",38.0%,17.9%,0.0%,"1,537",4,1,1,6.7%,0,0.0%,38,46.3%,13.6%,1.8%,30.8%,15.6%,0.81,0,"7,734","61,970",8,left-to-right,slwiktionary,wiktionary,sl,https://sl.wiktionary.org,Slovenian,Wiktionary,Slovenian Wiktionary
Swedish Wikiversity,529,"7,041",41.0%,24.8%,0.0%,"1,536",5,0,1,2.4%,0,0.0%,49,0.9%,1.9%,1.0%,9.4%,2.6%,0.87,0,652,"11,646",18,left-to-right,svwikiversity,wikiversity,sv,https://sv.wikiversity.org,Swedish,Wikiversity,Swedish Wikiversity
Telugu Wiktionary,530,"5,675",57.6%,29.7%,0.0%,"1,135",5,1,1,4.7%,0,0.0%,38,31.9%,5.7%,1.1%,10.6%,0.2%,0.77,0,"105,992","607,828",6,left-to-right,tewiktionary,wiktionary,te,https://te.wiktionary.org,Telugu,Wiktionary,Telugu Wiktionary
Slovak Wikisource,531,"2,592",36.0%,3.2%,0.0%,758,3,1,1,0.0%,0,0.0%,83,2.5%,0.1%,0.4%,1.0%,3.8%,0.86,0,410,"1,722",4,left-to-right,skwikisource,wikisource,sk,https://sk.wikisource.org,Slovak,Wikisource,Slovak Wikisource
Breton Wikisource,532,"1,666",17.4%,1.6%,0.0%,274,6,2,1,0.0%,0,100.0%,994,8.0%,0.0%,0.0%,0.1%,0.4%,0.82,0,"6,659","87,848",13,left-to-right,brwikisource,wikisource,br,https://br.wikisource.org,Breton,Wikisource,Breton Wikisource
Rundi Wikipedia,533,"5,469",18.2%,4.8%,0.0%,"1,563",4,1,1,4.0%,0,0.0%,47,3.0%,0.9%,9.7%,38.1%,1.6%,0.81,0,611,"2,724",4,left-to-right,rnwiki,wikipedia,rn,https://rn.wikipedia.org,Rundi,Wikipedia,Rundi Wikipedia
Slovenian Wikibooks,534,"2,902",24.0%,17.4%,0.0%,"1,290",2,1,0,0.0%,0,0.0%,86,1.1%,0.0%,0.1%,1.3%,0.1%,0.91,0,191,"7,490",39,left-to-right,slwikibooks,wikibooks,sl,https://sl.wikibooks.org,Slovenian,Wikibooks,Slovenian Wikibooks
Marathi Wiktionary,535,"4,545",68.2%,47.5%,0.0%,"1,363",3,1,1,10.7%,0,0.0%,18,19.4%,12.7%,0.5%,18.4%,2.8%,0.65,0,"1,684","6,165",4,left-to-right,mrwiktionary,wiktionary,mr,https://mr.wiktionary.org,Marathi,Wiktionary,Marathi Wiktionary
Fulah Wikipedia,536,"5,277",16.7%,5.0%,0.1%,867,6,1,1,4.0%,0,50.0%,28,4.8%,17.1%,1.2%,19.2%,3.0%,0.70,0,227,"2,237",10,left-to-right,ffwiki,wikipedia,ff,https://ff.wikipedia.org,Fulah,Wikipedia,Fulah Wikipedia
Serbian Wikiquote,537,"10,436",48.7%,36.6%,0.0%,"4,174",3,0,1,0.0%,0,0.0%,32,5.7%,2.1%,2.1%,69.2%,0.3%,0.80,0,561,"5,328",9,left-to-right,srwikiquote,wikiquote,sr,https://sr.wikiquote.org,Serbian,Wikiquote,Serbian Wikiquote
Nyanja Wikipedia,538,"7,650",30.7%,9.5%,0.0%,"1,370",6,0,2,4.8%,0,0.0%,26,4.8%,7.6%,4.7%,16.7%,5.7%,0.74,0,388,"1,942",5,left-to-right,nywiki,wikipedia,ny,https://ny.wikipedia.org,Nyanja,Wikipedia,Nyanja Wikipedia
Kashmiri Wikipedia,539,"4,956",19.2%,4.5%,0.1%,"1,293",4,1,1,5.4%,0,0.0%,33,4.6%,3.1%,41.4%,12.8%,3.8%,0.82,0,316,"1,541",5,right-to-left,kswiki,wikipedia,ks,https://ks.wikipedia.org,Kashmiri,Wikipedia,Kashmiri Wikipedia
Fijian Wikipedia,540,"5,887",13.1%,3.7%,0.0%,"1,218",5,0,2,2.5%,0,9.1%,27,12.8%,12.5%,5.8%,17.7%,6.4%,0.75,0,424,"2,364",6,left-to-right,fjwiki,wikipedia,fj,https://fj.wikipedia.org,Fijian,Wikipedia,Fijian Wikipedia
Norwegian Nynorsk Wiktionary,541,"2,826",33.4%,12.8%,0.0%,"1,169",2,1,1,0.0%,0,0.0%,136,43.6%,0.2%,0.1%,0.7%,0.4%,0.91,0,"12,125","6,661",1,left-to-right,nnwiktionary,wiktionary,nn,https://nn.wiktionary.org,Norwegian Nynorsk,Wiktionary,Norwegian Nynorsk Wiktionary
Macedonian Wikisource,542,"5,550",41.2%,6.4%,0.0%,"2,467",2,0,1,0.0%,0,0.0%,47,0.2%,0.5%,0.2%,1.8%,0.2%,0.87,0,"2,842","9,651",3,left-to-right,mkwikisource,wikisource,mk,https://mk.wikisource.org,Macedonian,Wikisource,Macedonian Wikisource
Tajik Wiktionary,543,"1,964",14.0%,9.0%,0.0%,462,4,1,1,5.9%,0,0.0%,225,32.2%,0.3%,0.0%,47.7%,0.9%,0.90,0,"29,561","39,450",1,left-to-right,tgwiktionary,wiktionary,tg,https://tg.wiktionary.org,Tajik,Wiktionary,Tajik Wiktionary
Pontic Wikipedia,544,"8,908",25.0%,6.5%,8.2%,"2,181",4,0,1,2.6%,0,20.0%,28,8.1%,6.2%,6.2%,32.2%,4.4%,0.76,0,457,"3,973",9,left-to-right,pntwiki,wikipedia,pnt,https://pnt.wikipedia.org,Pontic,Wikipedia,Pontic Wikipedia
Lak Wikipedia,545,"6,429",18.4%,4.2%,0.0%,"1,205",5,0,1,7.7%,0,0.0%,85,1.6%,1.8%,0.5%,7.9%,3.2%,0.91,0,"1,216","5,480",5,left-to-right,lbewiki,wikipedia,lbe,https://lbe.wikipedia.org,Lak,Wikipedia,Lak Wikipedia
Cree Wikipedia,546,"3,657",13.5%,4.2%,0.1%,731,5,1,1,0.0%,0,0.0%,27,5.0%,5.6%,7.5%,29.2%,17.4%,0.73,0,131,"2,533",19,left-to-right,crwiki,wikipedia,cr,https://cr.wikipedia.org,Cree,Wikipedia,Cree Wikipedia
Punjabi Wiktionary,547,"1,111",25.0%,10.5%,0.0%,222,5,2,1,3.9%,0,0.0%,680,0.5%,0.1%,0.4%,0.4%,0.1%,0.94,0,"10,747","14,164",1,left-to-right,pawiktionary,wiktionary,pa,https://pa.wiktionary.org,Punjabi,Wiktionary,Punjabi Wiktionary
Inuktitut Wikipedia,548,"8,334",17.9%,8.0%,0.1%,"1,563",5,0,1,2.4%,0,50.0%,25,5.6%,7.0%,2.3%,26.8%,12.3%,0.71,0,411,"5,934",14,left-to-right,iuwiki,wikipedia,iu,https://iu.wikipedia.org,Inuktitut,Wikipedia,Inuktitut Wikipedia
Venetian Wiktionary,549,"2,069",27.9%,18.1%,0.0%,564,4,1,1,0.0%,0,0.0%,22,58.2%,1.5%,0.0%,7.1%,1.1%,0.78,0,"2,276","7,648",3,left-to-right,vecwiktionary,wiktionary,vec,https://vec.wiktionary.org,Venetian,Wiktionary,Venetian Wiktionary
Venda Wikipedia,550,"6,116",30.5%,9.3%,0.1%,"1,835",3,0,2,12.5%,0,33.3%,19,3.0%,8.8%,4.9%,6.2%,1.8%,0.69,0,256,"1,784",7,left-to-right,vewiki,wikipedia,ve,https://ve.wikipedia.org,Venda,Wikipedia,Venda Wikipedia
Bashkir Wikibooks,551,458,8.5%,3.7%,0.0%,51,9,4,0,0.0%,0,0.0%,525,0.0%,0.0%,0.0%,2.1%,0.0%,0.00,0,954,0,0,left-to-right,bawikibooks,wikibooks,ba,https://ba.wikibooks.org,Bashkir,Wikibooks,Bashkir Wikibooks
Swahili Wiktionary,552,"7,801",73.1%,44.3%,0.0%,"2,340",3,0,1,7.4%,0,0.0%,22,30.4%,4.3%,0.4%,38.2%,3.5%,0.73,0,"13,969","59,500",4,left-to-right,swwiktionary,wiktionary,sw,https://sw.wiktionary.org,Swahili,Wiktionary,Swahili Wiktionary
Dzongkha Wikipedia,553,"5,794",14.3%,4.1%,0.1%,"1,511",4,0,1,12.1%,0,100.0%,44,2.6%,7.6%,5.7%,44.9%,36.7%,0.84,0,218,"2,222",10,left-to-right,dzwiki,wikipedia,dz,https://dz.wikipedia.org,Dzongkha,Wikipedia,Dzongkha Wikipedia
Cherokee Wiktionary,554,"5,774",23.3%,7.6%,0.0%,"1,307",4,0,2,4.3%,0,0.0%,36,15.7%,2.8%,1.6%,6.9%,0.5%,0.84,0,"194,431","2,527",0,left-to-right,chrwiktionary,wiktionary,chr,https://chr.wiktionary.org,Cherokee,Wiktionary,Cherokee Wiktionary
Norwegian Wikibooks,555,"11,533",39.9%,28.4%,0.0%,"4,071",3,0,1,4.2%,0,0.0%,17,2.9%,8.6%,5.6%,29.3%,9.1%,0.69,0,865,"25,568",30,left-to-right,nowikibooks,wikibooks,no,https://no.wikibooks.org,Norwegian,Wikibooks,Norwegian Wikibooks
Galician Wikiquote,556,"2,032",28.8%,14.0%,0.0%,677,3,1,1,4.6%,0,0.0%,26,10.2%,1.3%,1.0%,3.5%,0.3%,0.80,0,517,"3,477",7,left-to-right,glwikiquote,wikiquote,gl,https://gl.wikiquote.org,Galician,Wikiquote,Galician Wikiquote
Georgian Wikibooks,557,"3,663",31.4%,21.8%,0.0%,"1,099",3,1,1,12.0%,0,0.0%,35,1.2%,2.4%,0.5%,2.9%,5.7%,0.83,0,282,"4,618",16,left-to-right,kawikibooks,wikibooks,ka,https://ka.wikibooks.org,Georgian,Wikibooks,Georgian Wikibooks
Korean Wikinews,558,"2,741",23.6%,25.7%,0.0%,451,6,1,1,0.0%,0,0.0%,39,22.7%,3.4%,0.9%,19.2%,3.2%,0.75,0,248,"5,814",23,left-to-right,kowikinews,wikinews,ko,https://ko.wikinews.org,Korean,Wikinews,Korean Wikinews
Kannada Wikiquote,559,"1,811",38.2%,30.1%,0.3%,604,3,1,0,9.1%,0,0.0%,23,1.8%,3.2%,0.0%,1.1%,1.8%,0.75,0,263,"2,324",9,left-to-right,knwikiquote,wikiquote,kn,https://kn.wikiquote.org,Kannada,Wikiquote,Kannada Wikiquote
Basque Wikiquote,560,"1,798",18.8%,11.0%,0.0%,599,3,1,1,0.0%,0,0.0%,21,25.0%,5.2%,18.1%,3.2%,3.1%,0.67,0,216,"2,939",14,left-to-right,euwikiquote,wikiquote,eu,https://eu.wikiquote.org,Basque,Wikiquote,Basque Wikiquote
Odia Wiktionary,561,"1,960",59.3%,36.8%,0.0%,500,4,1,0,28.1%,0,0.0%,28,92.6%,8.5%,0.9%,9.1%,7.3%,0.75,0,"108,591","3,919",0,left-to-right,orwiktionary,wiktionary,or,https://or.wiktionary.org,Odia,Wiktionary,Odia Wiktionary
Venetian Wikisource,562,"4,303",41.7%,24.7%,0.0%,"1,291",3,0,1,0.0%,0,0.0%,91,3.5%,0.3%,0.1%,0.5%,0.2%,0.92,0,"4,078","28,906",7,left-to-right,vecwikisource,wikisource,vec,https://vec.wikisource.org,Venetian,Wikisource,Venetian Wikisource
Urdu Wikibooks,563,"3,531",69.0%,61.5%,0.0%,"1,695",2,1,0,35.3%,0,0.0%,43,35.3%,14.6%,0.0%,6.0%,5.0%,0.88,0,212,"1,692",8,right-to-left,urwikibooks,wikibooks,ur,https://ur.wikibooks.org,Urdu,Wikibooks,Urdu Wikibooks
Guarani Wiktionary,564,"5,281",69.5%,25.6%,0.0%,"3,727",1,0,0,0.0%,0,0.0%,7,25.9%,12.8%,1.2%,18.6%,0.0%,0.69,0,"1,742","4,496",3,left-to-right,gnwiktionary,wiktionary,gn,https://gn.wiktionary.org,Guarani,Wiktionary,Guarani Wiktionary
Khmer Wikibooks,565,"2,093",49.7%,34.2%,0.0%,810,3,1,0,7.1%,0,0.0%,35,0.2%,3.4%,0.7%,8.4%,0.2%,0.82,0,179,"3,157",18,left-to-right,kmwikibooks,wikibooks,km,https://km.wikibooks.org,Khmer,Wikibooks,Khmer Wikibooks
Sinhala Wikibooks,566,"6,966",63.8%,50.6%,0.0%,"2,090",3,0,0,20.7%,0,0.0%,28,0.3%,10.0%,2.1%,8.8%,1.8%,0.80,0,341,"5,006",15,left-to-right,siwikibooks,wikibooks,si,https://si.wikibooks.org,Sinhala,Wikibooks,Sinhala Wikibooks
Adyghe Wikipedia,567,"5,190",10.7%,4.5%,0.6%,502,10,0,1,2.9%,0,0.0%,62,2.4%,2.0%,1.6%,11.4%,25.0%,0.80,0,409,"4,844",12,left-to-right,adywiki,wikipedia,ady,https://ady.wikipedia.org,Adyghe,Wikipedia,Adyghe Wikipedia
Western Frisian Wiktionary,568,"1,575",20.0%,6.9%,0.0%,485,3,1,1,0.0%,0,0.0%,595,11.1%,0.0%,0.0%,0.3%,1.1%,0.95,0,"13,554","45,505",3,left-to-right,fywiktionary,wiktionary,fy,https://fy.wiktionary.org,Western Frisian,Wiktionary,Western Frisian Wiktionary
Bosnian Wikisource,569,"5,049",51.0%,55.0%,0.0%,"3,029",2,0,0,0.0%,0,0.0%,21,1.6%,1.6%,0.0%,4.4%,1.2%,0.81,0,627,"5,952",9,left-to-right,bswikisource,wikisource,bs,https://bs.wikisource.org,Bosnian,Wikisource,Bosnian Wikisource
Hindi Wikiversity,570,875,52.5%,30.8%,0.0%,117,8,2,1,8.7%,1,50.0%,311,36.3%,0.7%,0.3%,1.2%,3.6%,0.90,0,325,"3,660",11,left-to-right,hiwikiversity,wikiversity,hi,https://hi.wikiversity.org,Hindi,Wikiversity,Hindi Wikiversity
Karachay-Balkar Wikipedia,571,"9,823",20.4%,4.5%,0.0%,"1,324",7,0,1,3.3%,0,33.3%,47,5.8%,2.1%,2.1%,19.1%,4.2%,0.82,0,"2,026","12,181",6,left-to-right,krcwiki,wikipedia,krc,https://krc.wikipedia.org,Karachay-Balkar,Wikipedia,Karachay-Balkar Wikipedia
Lithuanian Wikisource,572,"9,438",46.6%,42.3%,0.0%,"4,924",2,0,1,18.8%,0,0.0%,9,0.0%,34.8%,1.8%,45.5%,27.7%,0.63,0,551,"3,704",7,left-to-right,ltwikisource,wikisource,lt,https://lt.wikisource.org,Lithuanian,Wikisource,Lithuanian Wikisource
Japanese Wikiversity,573,"8,853",52.8%,27.5%,0.0%,"1,436",6,0,2,8.0%,0,0.0%,29,22.7%,12.5%,0.9%,16.6%,15.1%,0.66,0,162,"1,503",9,left-to-right,jawikiversity,wikiversity,ja,https://ja.wikiversity.org,Japanese,Wikiversity,Japanese Wikiversity
Asturian Wiktionary,574,"2,919",45.0%,22.0%,0.0%,745,4,1,1,3.0%,0,0.0%,355,19.6%,0.1%,0.0%,0.7%,0.2%,0.95,0,"18,473","54,982",3,left-to-right,astwiktionary,wiktionary,ast,https://ast.wiktionary.org,Asturian,Wiktionary,Asturian Wiktionary
Tigrinya Wikipedia,575,"5,814",26.2%,9.8%,1.2%,"1,789",3,0,1,11.1%,0,25.0%,21,5.0%,10.6%,3.7%,40.2%,3.3%,0.79,0,165,"1,917",12,left-to-right,tiwiki,wikipedia,ti,https://ti.wikipedia.org,Tigrinya,Wikipedia,Tigrinya Wikipedia
Greek Wikinews,576,"1,657",18.7%,4.2%,0.0%,390,4,1,1,3.3%,0,25.0%,69,59.2%,0.6%,3.8%,2.9%,2.7%,0.83,0,"3,050","18,750",6,left-to-right,elwikinews,wikinews,el,https://el.wikinews.org,Greek,Wikinews,Greek Wikinews
Sinhala Wiktionary,577,"1,801",36.7%,21.8%,0.0%,655,3,1,1,4.6%,0,0.0%,64,10.3%,0.3%,0.3%,2.2%,1.7%,0.91,0,"1,196","4,221",4,left-to-right,siwiktionary,wiktionary,si,https://si.wiktionary.org,Sinhala,Wiktionary,Sinhala Wiktionary
Tamil Wikinews,578,"2,697",44.7%,13.8%,0.0%,753,4,1,1,5.6%,0,0.0%,18,88.5%,5.9%,2.3%,9.1%,0.9%,0.65,0,"3,043","13,982",5,left-to-right,tawikinews,wikinews,ta,https://ta.wikinews.org,Tamil,Wikinews,Tamil Wikinews
Tatar Wikibooks,579,"5,277",42.6%,31.1%,0.0%,"4,221",1,0,0,0.0%,0,0.0%,7,1.1%,3.5%,0.0%,23.0%,1.1%,0.66,0,260,"1,142",4,left-to-right,ttwikibooks,wikibooks,tt,https://tt.wikibooks.org,Tatar,Wikibooks,Tatar Wikibooks
Sundanese Wikiquote,580,"3,164",63.0%,48.6%,0.0%,"2,234",1,0,0,10.0%,0,0.0%,21,0.0%,3.2%,0.4%,4.5%,0.8%,0.82,0,"1,266","1,826",1,left-to-right,suwikiquote,wikiquote,su,https://su.wikiquote.org,Sundanese,Wikiquote,Sundanese Wikiquote
Norwegian Nynorsk Wikiquote,581,"2,555",25.4%,13.8%,0.0%,"1,803",1,1,1,0.0%,0,0.0%,9,9.6%,1.8%,2.7%,4.4%,0.0%,0.70,0,"1,715","7,352",4,left-to-right,nnwikiquote,wikiquote,nn,https://nn.wikiquote.org,Norwegian Nynorsk,Wikiquote,Norwegian Nynorsk Wikiquote
Serbian Wikibooks,582,"7,517",50.1%,38.1%,0.0%,"3,758",2,0,1,0.0%,0,0.0%,19,2.2%,15.7%,0.9%,3.6%,0.4%,0.82,0,"1,144","4,545",4,left-to-right,srwikibooks,wikibooks,sr,https://sr.wikibooks.org,Serbian,Wikibooks,Serbian Wikibooks
Sakha Wikisource,583,"2,145",53.5%,46.7%,0.0%,"1,355",2,1,0,0.0%,0,0.0%,16,3.0%,0.5%,0.5%,3.1%,1.0%,0.67,0,579,"4,889",8,left-to-right,sahwikisource,wikisource,sah,https://sah.wikisource.org,Sakha,Wikisource,Sakha Wikisource
Kyrgyz Wiktionary,584,"2,331",22.1%,8.0%,0.0%,"1,036",2,1,1,5.0%,0,0.0%,"2,112",0.7%,0.0%,0.0%,93.7%,0.1%,0.95,0,"25,267","88,326",3,left-to-right,kywiktionary,wiktionary,ky,https://ky.wiktionary.org,Kyrgyz,Wiktionary,Kyrgyz Wiktionary
Romanian Wikivoyage,585,"2,178",33.6%,14.8%,0.0%,726,3,1,1,0.0%,0,0.0%,33,1.0%,1.3%,9.7%,38.3%,0.5%,0.81,0,906,"10,882",12,left-to-right,rowikivoyage,wikivoyage,ro,https://ro.wikivoyage.org,Romanian,Wikivoyage,Romanian Wikivoyage
Welsh Wiktionary,586,"3,186",27.0%,12.9%,0.0%,980,3,0,1,0.0%,0,0.0%,24,68.2%,2.8%,0.4%,9.1%,0.0%,0.74,0,"24,113","47,812",2,left-to-right,cywiktionary,wiktionary,cy,https://cy.wiktionary.org,Welsh,Wiktionary,Welsh Wiktionary
Kazakh Wiktionary,587,"6,200",58.0%,30.8%,0.0%,"3,100",2,0,1,4.4%,0,0.0%,20,24.8%,13.1%,11.0%,62.9%,0.4%,0.77,0,"5,775","40,006",7,left-to-right,kkwiktionary,wiktionary,kk,https://kk.wiktionary.org,Kazakh,Wiktionary,Kazakh Wiktionary
Afrikaans Wikiquote,588,"2,448",23.3%,17.9%,0.0%,864,3,0,1,3.9%,0,0.0%,18,20.5%,3.3%,0.0%,9.1%,1.0%,0.73,0,19,886,47,left-to-right,afwikiquote,wikiquote,af,https://af.wikiquote.org,Afrikaans,Wikiquote,Afrikaans Wikiquote
Turkish Wikinews,589,"2,409",29.2%,12.3%,0.0%,567,4,0,1,2.8%,0,0.0%,19,98.6%,9.9%,6.5%,20.7%,9.5%,0.68,0,"1,163","10,637",9,left-to-right,trwikinews,wikinews,tr,https://tr.wikinews.org,Turkish,Wikinews,Turkish Wikinews
Chinese (Min Nan) Wiktionary,590,"2,348",21.4%,12.3%,0.0%,552,4,0,0,0.0%,0,0.0%,29,45.5%,2.0%,0.3%,2.6%,1.2%,0.76,0,"21,706","58,104",3,left-to-right,zh_min_nanwiktionary,wiktionary,zh-min-nan,https://zh-min-nan.wiktionary.org,Chinese (Min Nan),Wiktionary,Chinese (Min Nan) Wiktionary
Esperanto Wikibooks,591,"1,577",14.4%,12.5%,0.0%,430,4,1,1,0.0%,0,0.0%,20,18.4%,2.1%,0.9%,8.1%,0.9%,0.61,0,442,"8,354",19,left-to-right,eowikibooks,wikibooks,eo,https://eo.wikibooks.org,Esperanto,Wikibooks,Esperanto Wikibooks
Albanian Wikiquote,592,"10,612",68.4%,61.7%,0.0%,"5,789",2,0,0,0.0%,0,0.0%,10,4.0%,14.2%,2.5%,33.3%,0.8%,0.65,0,73,"1,048",14,left-to-right,sqwikiquote,wikiquote,sq,https://sq.wikiquote.org,Albanian,Wikiquote,Albanian Wikiquote
Basque Wikibooks,593,"1,324",19.2%,17.1%,0.0%,418,3,1,1,0.0%,0,0.0%,128,1.8%,1.8%,1.0%,4.5%,1.8%,0.89,0,75,"4,586",61,left-to-right,euwikibooks,wikibooks,eu,https://eu.wikibooks.org,Basque,Wikibooks,Basque Wikibooks
Marathi Wikibooks,594,"3,311",71.0%,54.2%,0.0%,"2,483",1,0,0,15.4%,0,0.0%,6,6.4%,15.1%,1.4%,21.9%,8.2%,0.65,0,15,"1,158",77,left-to-right,mrwikibooks,wikibooks,mr,https://mr.wikibooks.org,Marathi,Wikibooks,Marathi Wikibooks
Limburgish Wiktionary,595,"3,274",30.6%,13.6%,0.0%,873,4,0,0,0.0%,0,0.0%,20,86.1%,0.8%,0.0%,2.9%,1.0%,0.78,0,"114,664","240,338",2,left-to-right,liwiktionary,wiktionary,li,https://li.wiktionary.org,Limburgish,Wiktionary,Limburgish Wiktionary
Marathi Wikiquote,596,"2,455",62.1%,52.4%,0.0%,"1,473",2,0,0,7.1%,0,0.0%,9,5.2%,46.4%,1.8%,17.3%,2.7%,0.57,0,44,"1,485",34,left-to-right,mrwikiquote,wikiquote,mr,https://mr.wikiquote.org,Marathi,Wikiquote,Marathi Wikiquote
Persian Wikinews,597,"3,272",60.2%,34.5%,0.0%,393,8,0,1,22.4%,0,33.3%,85,8.3%,9.1%,0.2%,8.0%,0.8%,0.87,0,"1,607","12,580",8,right-to-left,fawikinews,wikinews,fa,https://fa.wikinews.org,Persian,Wikinews,Persian Wikinews
Armenian Wikibooks,598,"4,873",43.8%,32.8%,0.0%,"1,499",3,0,0,0.0%,0,0.0%,17,2.0%,2.5%,2.0%,11.6%,4.0%,0.66,0,72,"1,226",17,left-to-right,hywikibooks,wikibooks,hy,https://hy.wikibooks.org,Armenian,Wikibooks,Armenian Wikibooks
Nepali Wiktionary,599,"2,412",58.1%,33.9%,0.0%,315,8,0,2,3.5%,0,1.9%,425,42.7%,0.3%,0.0%,0.3%,0.1%,0.97,0,353,"25,139",71,left-to-right,newiktionary,wiktionary,ne,https://ne.wiktionary.org,Nepali,Wiktionary,Nepali Wiktionary
Latin Wikiquote,600,"1,890",15.3%,8.0%,0.0%,"1,080",2,0,1,5.9%,0,0.0%,38,3.2%,78.9%,1.8%,5.3%,0.2%,0.85,0,355,"3,525",10,left-to-right,lawikiquote,wikiquote,la,https://la.wikiquote.org,Latin,Wikiquote,Latin Wikiquote
Maori Wiktionary,601,"4,551",3.9%,5.1%,0.0%,440,10,0,4,0.0%,0,0.0%,32,43.3%,0.3%,0.0%,33.2%,1.3%,0.62,0,910,"2,051",2,left-to-right,miwiktionary,wiktionary,mi,https://mi.wiktionary.org,Maori,Wiktionary,Maori Wiktionary
Malay Wikibooks,602,"8,691",70.5%,53.4%,0.0%,"5,215",2,0,0,18.8%,0,0.0%,8,4.9%,47.4%,3.1%,54.6%,1.0%,0.67,0,274,"2,440",9,left-to-right,mswikibooks,wikibooks,ms,https://ms.wikibooks.org,Malay,Wikibooks,Malay Wikibooks
Sindhi Wiktionary,603,"1,062",11.2%,8.6%,0.0%,398,3,1,1,0.0%,0,0.0%,31,18.6%,4.3%,0.3%,6.2%,4.6%,0.74,0,"1,774","12,766",7,right-to-left,sdwiktionary,wiktionary,sd,https://sd.wiktionary.org,Sindhi,Wiktionary,Sindhi Wiktionary
Telugu Wikibooks,604,"2,013",66.2%,56.5%,0.0%,"1,726",1,0,0,9.1%,0,0.0%,6,0.0%,12.7%,1.4%,25.4%,0.0%,0.53,0,25,830,33,left-to-right,tewikibooks,wikibooks,te,https://te.wikibooks.org,Telugu,Wikibooks,Telugu Wikibooks
Hindi Wikivoyage,605,258,50.2%,22.4%,0.0%,25,10,3,0,39.5%,1,0.0%,147,0.2%,5.7%,3.5%,2.9%,0.0%,0.00,0,87,0,0,left-to-right,hiwikivoyage,wikivoyage,hi,https://hi.wikivoyage.org,Hindi,Wikivoyage,Hindi Wikivoyage
Volapük Wiktionary,606,"1,599",16.4%,6.9%,0.0%,914,2,0,0,0.0%,0,0.0%,7,94.5%,1.1%,0.0%,1.1%,0.0%,0.57,0,"23,384","25,509",1,left-to-right,vowiktionary,wiktionary,vo,https://vo.wiktionary.org,Volapük,Wiktionary,Volapük Wiktionary
